"name","year","team","league","goose_eggs","broken_eggs","mehs","league_average_gpct","ppf","replacement_gpct","gwar","key_retro"
"Dolf Luque",1921.00,"CIN","NL",3.00,1.00,0.00,0.75,94.00,0.71,0.06,"luqud101"
"Mike Kircher",1921.00,"SLN","NL",0.00,1.00,0.00,0.74,96.00,0.71,-0.37,"kircm101"
"Slim Sallee",1921.00,"NY1","NL",13.00,6.00,2.00,0.74,98.00,0.71,-0.26,"salls101"
"Lou North",1921.00,"SLN","NL",10.00,4.00,0.00,0.74,96.00,0.71,1.731e-04,"nortl101"
"Dana Fillingim",1921.00,"BSN","NL",4.00,1.00,1.00,0.74,96.00,0.71,0.22,"filld101"
"Speed Martin",1921.00,"CHN","NL",5.00,2.00,1.00,0.74,101.00,0.70,0.02,"marts102"
"Lynn Brenton",1921.00,"CIN","NL",2.00,1.00,0.00,0.75,94.00,0.71,-0.07,"brenl101"
"Pete Alexander",1921.00,"CHN","NL",1.00,0.00,0.00,0.74,101.00,0.70,0.15,"alexg102"
"Fritz Coumbe",1921.00,"CIN","NL",1.00,1.00,0.00,0.75,94.00,0.71,-0.22,"coumf101"
"Red Causey",1921.00,"NY1","NL",0.00,1.00,0.00,0.74,98.00,0.71,-0.36,"causr101"
"Mule Watson",1921.00,"BSN","NL",0.00,0.00,1.00,0.74,96.00,0.71,,"watsm103"
"Red Shea",1921.00,"NY1","NL",5.00,0.00,1.00,0.74,98.00,0.71,0.75,"shear102"
"Tink Riviere",1921.00,"SLN","NL",0.00,1.00,0.00,0.74,96.00,0.71,-0.37,"rivit101"
"George Mohart",1921.00,"BRO","NL",0.00,0.00,0.00,0.73,104.00,0.70,,"mohag101"
"Stan Baumgartner",1921.00,"PHI","NL",2.00,0.00,1.00,0.72,111.00,0.69,0.31,"baums101"
"Ferdie Schupp",1921.00,"BRO","NL",4.00,1.00,1.00,0.73,104.00,0.70,0.25,"schuf102"
"Jack Scott",1921.00,"BSN","NL",7.00,1.00,0.00,0.74,96.00,0.71,0.66,"scotj101"
"Al Mamaux",1921.00,"BRO","NL",13.00,2.00,1.00,0.73,104.00,0.70,1.27,"mamaa101"
"Rube Marquard",1921.00,"CIN","NL",1.00,0.00,0.00,0.75,94.00,0.71,0.14,"marqr102"
"Rip Wheeler",1921.00,"PIT","NL",0.00,0.00,0.00,0.74,101.00,0.70,,"wheer101"
"Lyle Bigbee",1921.00,"PIT","NL",0.00,0.00,0.00,0.74,101.00,0.70,,"bigbl101"
"Vic Keen",1921.00,"CHN","NL",0.00,0.00,0.00,0.74,101.00,0.70,,"keenv101"
"Garland Braxton",1921.00,"BSN","NL",0.00,0.00,1.00,0.74,96.00,0.71,,"braxg101"
"Ferdie Schupp",1921.00,"SLN","NL",1.00,0.00,0.00,0.74,96.00,0.71,0.14,"schuf102"
"Lee Meadows",1921.00,"PHI","NL",0.00,1.00,0.00,0.72,111.00,0.69,-0.36,"meadl101"
"Roy Walker",1921.00,"SLN","NL",1.00,0.00,0.00,0.74,96.00,0.71,0.14,"walkr102"
"Phil Morrison",1921.00,"PIT","NL",0.00,0.00,0.00,0.74,101.00,0.70,,"morrp101"
"Eppa Rixey",1921.00,"CIN","NL",5.00,1.00,2.00,0.75,94.00,0.71,0.36,"rixee101"
"Pete Donohue",1921.00,"CIN","NL",4.00,3.00,0.00,0.75,94.00,0.71,-0.53,"donop102"
"Johnny Cooney",1921.00,"BSN","NL",0.00,0.00,0.00,0.74,96.00,0.71,,"coonj101"
"Huck Betts",1921.00,"PHI","NL",9.00,3.00,2.00,0.72,111.00,0.69,0.35,"betth101"
"Bob Geary",1921.00,"CIN","NL",0.00,1.00,0.00,0.75,94.00,0.71,-0.37,"gearb101"
"Buddy Napier",1921.00,"CIN","NL",0.00,0.00,1.00,0.75,94.00,0.71,,"napib101"
"Al Pierotti",1921.00,"BSN","NL",0.00,0.00,0.00,0.74,96.00,0.71,,"piera101"
"Ira Townsend",1921.00,"BSN","NL",0.00,0.00,0.00,0.74,96.00,0.71,,"towni101"
"Elmer Ponder",1921.00,"PIT","NL",3.00,0.00,1.00,0.74,101.00,0.70,0.45,"ponde101"
"Fred Toney",1921.00,"NY1","NL",6.00,1.00,3.00,0.74,98.00,0.71,0.53,"tonef101"
"Jimmy Ring",1921.00,"PHI","NL",0.00,0.00,1.00,0.72,111.00,0.69,,"ringj101"
"Jeff Pfeffer",1921.00,"BRO","NL",1.00,1.00,0.00,0.73,104.00,0.70,-0.21,"pfefj101"
"Virgil Cheeves",1921.00,"CHN","NL",7.00,0.00,0.00,0.74,101.00,0.70,1.06,"cheev101"
"Leon Cadore",1921.00,"BRO","NL",10.00,3.00,1.00,0.73,104.00,0.70,0.44,"cadol101"
"Walter Zink",1921.00,"NY1","NL",0.00,0.00,0.00,0.74,98.00,0.71,,"zinkw101"
"Rosy Ryan",1921.00,"NY1","NL",8.00,4.00,0.00,0.74,98.00,0.71,-0.27,"ryanr101"
"Hal Carlson",1921.00,"PIT","NL",6.00,5.00,0.00,0.74,101.00,0.70,-0.92,"carlh101"
"Elmer Ponder",1921.00,"CHN","NL",0.00,1.00,0.00,0.74,101.00,0.70,-0.36,"ponde101"
"Earl Hamilton",1921.00,"PIT","NL",6.00,1.00,2.00,0.74,101.00,0.70,0.54,"hamie101"
"Hippo Vaughn",1921.00,"CHN","NL",0.00,0.00,0.00,0.74,101.00,0.70,,"vaugh101"
"Babe Adams",1921.00,"PIT","NL",12.00,0.00,0.00,0.74,101.00,0.70,1.82,"adamb104"
"Jimmy Zinn",1921.00,"PIT","NL",10.00,3.00,2.00,0.74,101.00,0.70,0.41,"zinnj101"
"Drew Rader",1921.00,"PIT","NL",0.00,0.00,0.00,0.74,101.00,0.70,,"raded102"
"Sherry Smith",1921.00,"BRO","NL",14.00,5.00,0.00,0.73,104.00,0.70,0.33,"smits102"
"Jeff Pfeffer",1921.00,"SLN","NL",0.00,0.00,0.00,0.74,96.00,0.71,,"pfefj101"
"Duke Sedgwick",1921.00,"PHI","NL",0.00,0.00,0.00,0.72,111.00,0.69,,"sedgd101"
"George Smith",1921.00,"PHI","NL",3.00,1.00,0.00,0.72,111.00,0.69,0.11,"smitg104"
"Dutch Ruether",1921.00,"BRO","NL",1.00,0.00,2.00,0.73,104.00,0.70,0.15,"ruetd101"
"Joe Oeschger",1921.00,"BSN","NL",3.00,3.00,0.00,0.74,96.00,0.71,-0.66,"oescj101"
"Oscar Fuhr",1921.00,"CHN","NL",0.00,0.00,0.00,0.74,101.00,0.70,,"fuhro102"
"Art Nehf",1921.00,"NY1","NL",2.00,2.00,0.00,0.74,98.00,0.71,-0.43,"nehfa101"
"Johnny Morrison",1921.00,"PIT","NL",0.00,0.00,0.00,0.74,101.00,0.70,,"morrj105"
"Bill Pertica",1921.00,"SLN","NL",0.00,0.00,0.00,0.74,96.00,0.71,,"pertb101"
"Kaiser Wilhelm",1921.00,"PHI","NL",0.00,0.00,0.00,0.72,111.00,0.69,,"wilhk101"
"Rube Benton",1921.00,"NY1","NL",6.00,3.00,0.00,0.74,98.00,0.71,-0.20,"bentr102"
"Buck Freeman",1921.00,"CHN","NL",5.00,0.00,0.00,0.74,101.00,0.70,0.76,"freeb101"
"Johnny Miljus",1921.00,"BRO","NL",4.00,1.00,1.00,0.73,104.00,0.70,0.25,"miljj101"
"Lefty Tyler",1921.00,"CHN","NL",3.00,0.00,0.00,0.74,101.00,0.70,0.45,"tylel101"
"Bill Sherdel",1921.00,"SLN","NL",6.00,2.00,0.00,0.74,96.00,0.71,0.14,"sherb101"
"Pol Perritt",1921.00,"NY1","NL",0.00,0.00,0.00,0.74,98.00,0.71,,"perrp101"
"Jesse Haines",1921.00,"SLN","NL",3.00,0.00,0.00,0.74,96.00,0.71,0.44,"hainj101"
"Hod Eller",1921.00,"CIN","NL",1.00,1.00,0.00,0.75,94.00,0.71,-0.22,"elleh101"
"Jimmie Keenan",1921.00,"PHI","NL",1.00,0.00,1.00,0.72,111.00,0.69,0.15,"keenj103"
"Cliff Markle",1921.00,"CIN","NL",3.00,4.00,0.00,0.75,94.00,0.71,-1.05,"markc101"
"Bill Hubbell",1921.00,"PHI","NL",1.00,0.00,0.00,0.72,111.00,0.69,0.15,"hubbb101"
"Percy Jones",1921.00,"CHN","NL",4.00,6.00,0.00,0.74,101.00,0.70,-1.59,"jonep101"
"Jesse Barnes",1921.00,"NY1","NL",6.00,1.00,2.00,0.74,98.00,0.71,0.53,"barnj102"
"Clarence Mitchell",1921.00,"BRO","NL",2.00,0.00,1.00,0.73,104.00,0.70,0.30,"mitcc102"
"Bill Bailey",1921.00,"SLN","NL",0.00,0.00,1.00,0.74,96.00,0.71,,"bailb101"
"Jesse Winters",1921.00,"PHI","NL",0.00,0.00,0.00,0.72,111.00,0.69,,"wintj101"
"Sweetbreads Bailey",1921.00,"CHN","NL",0.00,0.00,1.00,0.74,101.00,0.70,,"bails101"
"Eddie Eayrs",1921.00,"BSN","NL",0.00,0.00,0.00,0.74,96.00,0.71,,"eayre101"
"Marv Goodwin",1921.00,"SLN","NL",0.00,0.00,0.00,0.74,96.00,0.71,,"goodm102"
"Clint Rogge",1921.00,"CIN","NL",1.00,1.00,0.00,0.75,94.00,0.71,-0.22,"roggc101"
"Bill Doak",1921.00,"SLN","NL",0.00,0.00,0.00,0.74,96.00,0.71,,"doakb101"
"Lefty York",1921.00,"CHN","NL",5.00,1.00,3.00,0.74,101.00,0.70,0.39,"yorkl101"
"Chief Yellow Horse",1921.00,"PIT","NL",8.00,3.00,0.00,0.74,101.00,0.70,0.11,"yellc101"
"Hugh McQuillan",1921.00,"BSN","NL",8.00,1.00,1.00,0.74,96.00,0.71,0.81,"mcquh101"
"George Stueland",1921.00,"CHN","NL",0.00,0.00,0.00,0.74,101.00,0.70,,"stueg101"
"Bill Hughes",1921.00,"PIT","NL",0.00,0.00,0.00,0.74,101.00,0.70,,"hughb102"
"Lefty Weinert",1921.00,"PHI","NL",0.00,0.00,0.00,0.72,111.00,0.69,,"weinl101"
"Phil Douglas",1921.00,"NY1","NL",6.00,4.00,0.00,0.74,98.00,0.71,-0.57,"dougp101"
"Cy Morgan",1921.00,"BSN","NL",4.00,0.00,0.00,0.74,96.00,0.71,0.59,"morgc101"
"Whitey Glazner",1921.00,"PIT","NL",1.00,1.00,2.00,0.74,101.00,0.70,-0.21,"glazw101"
"Tony Kaufmann",1921.00,"CHN","NL",3.00,0.00,0.00,0.74,101.00,0.70,0.45,"kauft101"
"Sweetbreads Bailey",1921.00,"BRO","NL",0.00,0.00,0.00,0.73,104.00,0.70,,"bails101"
"Burleigh Grimes",1921.00,"BRO","NL",0.00,0.00,0.00,0.73,104.00,0.70,,"grimb101"
"Charlie Eckert",1922.00,"PHA","AL",0.00,2.00,1.00,0.71,105.00,0.67,-0.70,"eckec101"
"Dixie Leverett",1922.00,"CHA","AL",4.00,0.00,0.00,0.71,100.00,0.68,0.66,"leved101"
"Ferdie Schupp",1922.00,"CHA","AL",5.00,0.00,3.00,0.71,100.00,0.68,0.82,"schuf102"
"Guy Morton",1922.00,"CLE","AL",4.00,1.00,1.00,0.71,100.00,0.68,0.30,"mortg101"
"Urban Shocker",1922.00,"SLA","AL",5.00,2.00,3.00,0.71,103.00,0.67,0.13,"shocu101"
"Chief Youngblood",1922.00,"WS1","AL",0.00,0.00,0.00,0.72,96.00,0.68,,"younc101"
"Ray Kolp",1922.00,"SLA","AL",1.00,1.00,1.00,0.71,103.00,0.67,-0.18,"kolpr101"
"Dutch Henry",1922.00,"SLA","AL",0.00,0.00,0.00,0.71,103.00,0.67,,"henrd101"
"Dave Keefe",1922.00,"CLE","AL",1.00,1.00,0.00,0.71,100.00,0.68,-0.18,"keefd101"
"Jose Acosta",1922.00,"CHA","AL",1.00,3.00,0.00,0.71,100.00,0.68,-0.89,"acosj101"
"Jim Bagby",1922.00,"CLE","AL",5.00,0.00,0.00,0.71,100.00,0.68,0.82,"bagbj101"
"Tom Zachary",1922.00,"WS1","AL",4.00,0.00,1.00,0.72,96.00,0.68,0.64,"zacht101"
"Dan Boone",1922.00,"CLE","AL",0.00,0.00,1.00,0.71,100.00,0.68,,"boond102"
"Jim Lindsey",1922.00,"CLE","AL",10.00,3.00,0.00,0.71,100.00,0.68,0.58,"lindj102"
"Stan Coveleski",1922.00,"CLE","AL",3.00,0.00,0.00,0.71,100.00,0.68,0.49,"coves101"
"Carl Mays",1922.00,"NYA","AL",2.00,1.00,1.00,0.71,98.00,0.68,-0.02,"maysc101"
"Lum Davenport",1922.00,"CHA","AL",2.00,1.00,0.00,0.71,100.00,0.68,-0.02,"davel101"
"Allen Sothoron",1922.00,"CLE","AL",0.00,1.00,0.00,0.71,100.00,0.68,-0.35,"sotha101"
"Doug McWeeny",1922.00,"CHA","AL",0.00,0.00,0.00,0.71,100.00,0.68,,"mcwed101"
"Syl Johnson",1922.00,"DET","AL",2.00,0.00,0.00,0.72,96.00,0.68,0.32,"johns101"
"Dave Danforth",1922.00,"SLA","AL",1.00,0.00,0.00,0.71,103.00,0.67,0.16,"danfd101"
"Gus Ketchum",1922.00,"PHA","AL",1.00,1.00,0.00,0.71,105.00,0.67,-0.18,"ketcg101"
"Ted Odenwald",1922.00,"CLE","AL",0.00,0.00,0.00,0.71,100.00,0.68,,"odent101"
"Ray Francis",1922.00,"WS1","AL",2.00,0.00,0.00,0.72,96.00,0.68,0.32,"franr101"
"Eddie Rommel",1922.00,"PHA","AL",10.00,3.00,2.00,0.71,105.00,0.67,0.63,"romme101"
"Tom Phillips",1922.00,"WS1","AL",0.00,0.00,0.00,0.72,96.00,0.68,,"philt102"
"Jim Sullivan",1922.00,"PHA","AL",3.00,1.00,0.00,0.71,105.00,0.67,0.15,"sullj108"
"Eric Erickson",1922.00,"WS1","AL",0.00,0.00,0.00,0.72,96.00,0.68,,"erice101"
"Jack Quinn",1922.00,"BOS","AL",1.00,0.00,1.00,0.71,101.00,0.68,0.16,"quinj102"
"Herman Pillette",1922.00,"DET","AL",0.00,0.00,0.00,0.72,96.00,0.68,,"pillh101"
"Ole Olsen",1922.00,"DET","AL",1.00,1.00,1.00,0.72,96.00,0.68,-0.19,"olseo101"
"Joe Shaute",1922.00,"CLE","AL",0.00,0.00,0.00,0.71,100.00,0.68,,"shauj101"
"John Russell",1922.00,"CHA","AL",1.00,0.00,0.00,0.71,100.00,0.68,0.16,"russj101"
"George Edmondson",1922.00,"CLE","AL",0.00,0.00,0.00,0.71,100.00,0.68,,"edmog101"
"Elmer Myers",1922.00,"BOS","AL",0.00,0.00,0.00,0.71,101.00,0.68,,"myere101"
"Roy Moore",1922.00,"DET","AL",0.00,0.00,0.00,0.72,96.00,0.68,,"moorr102"
"Hooks Dauss",1922.00,"DET","AL",2.00,0.00,0.00,0.72,96.00,0.68,0.32,"daush101"
"George Murray",1922.00,"NYA","AL",6.00,1.00,2.00,0.71,98.00,0.68,0.62,"murrg101"
"Curt Fullerton",1922.00,"BOS","AL",0.00,0.00,1.00,0.71,101.00,0.68,,"fullc102"
"Lefty O'Doul",1922.00,"NYA","AL",0.00,0.00,0.00,0.71,98.00,0.68,,"odoul101"
"Cy Warmoth",1922.00,"WS1","AL",0.00,0.00,0.00,0.72,96.00,0.68,,"warmc101"
"Joe Gleason",1922.00,"WS1","AL",0.00,1.00,0.00,0.72,96.00,0.68,-0.35,"gleaj101"
"Elam Vangilder",1922.00,"SLA","AL",5.00,2.00,1.00,0.71,103.00,0.67,0.13,"vange101"
"Shovel Hodge",1922.00,"CHA","AL",10.00,2.00,2.00,0.71,100.00,0.68,0.94,"hodgs101"
"Slim Harriss",1922.00,"PHA","AL",3.00,2.00,1.00,0.71,105.00,0.67,-0.19,"harrs101"
"Waite Hoyt",1922.00,"NYA","AL",7.00,2.00,0.00,0.71,98.00,0.68,0.43,"hoytw101"
"Allen Russell",1922.00,"BOS","AL",8.00,4.00,0.00,0.71,101.00,0.68,-0.08,"russa101"
"Hub Pruett",1922.00,"SLA","AL",5.00,2.00,1.00,0.71,103.00,0.67,0.13,"prueh101"
"Rip Collins",1922.00,"BOS","AL",0.00,0.00,1.00,0.71,101.00,0.68,,"collr104"
"Duster Mails",1922.00,"CLE","AL",1.00,2.00,1.00,0.71,100.00,0.68,-0.54,"mailw101"
"Tex Jeanes",1922.00,"CLE","AL",0.00,0.00,0.00,0.71,100.00,0.68,,"jeant101"
"Jim Brillheart",1922.00,"WS1","AL",1.00,0.00,0.00,0.72,96.00,0.68,0.16,"brilj101"
"George Mogridge",1922.00,"WS1","AL",3.00,3.00,1.00,0.72,96.00,0.68,-0.58,"mogrg101"
"Benn Karr",1922.00,"BOS","AL",2.00,3.00,2.00,0.71,101.00,0.68,-0.72,"karrb101"
"George Winn",1922.00,"CLE","AL",2.00,1.00,1.00,0.71,100.00,0.68,-0.02,"winng101"
"Roy Wilkinson",1922.00,"CHA","AL",0.00,1.00,0.00,0.71,100.00,0.68,-0.35,"wilkr101"
"Clem Llewellyn",1922.00,"NYA","AL",0.00,0.00,0.00,0.71,98.00,0.68,,"llewc101"
"Frank Mack",1922.00,"CHA","AL",0.00,0.00,0.00,0.71,100.00,0.68,,"mackf101"
"Sad Sam Jones",1922.00,"NYA","AL",7.00,1.00,4.00,0.71,98.00,0.68,0.79,"jones104"
"George Uhle",1922.00,"CLE","AL",6.00,2.00,0.00,0.71,100.00,0.68,0.28,"uhleg101"
"Bill Bayne",1922.00,"SLA","AL",6.00,1.00,3.00,0.71,103.00,0.67,0.65,"baynb101"
"Nellie Pott",1922.00,"CLE","AL",0.00,0.00,0.00,0.71,100.00,0.68,,"pottn101"
"Dick McCabe",1922.00,"CHA","AL",0.00,1.00,0.00,0.71,100.00,0.68,-0.35,"mccad102"
"Ernie Cox",1922.00,"CHA","AL",0.00,0.00,0.00,0.71,100.00,0.68,,"cox-e101"
"Charlie Jamieson",1922.00,"CLE","AL",0.00,0.00,0.00,0.71,100.00,0.68,,"jamic101"
"Fred Heimach",1922.00,"PHA","AL",2.00,1.00,0.00,0.71,105.00,0.67,-0.01,"heimf101"
"Ted Blankenship",1922.00,"CHA","AL",11.00,5.00,3.00,0.71,100.00,0.68,0.04,"blant101"
"Curly Ogden",1922.00,"PHA","AL",0.00,0.00,0.00,0.71,105.00,0.67,,"ogdec101"
"Rasty Wright",1922.00,"SLA","AL",3.00,1.00,0.00,0.71,103.00,0.67,0.15,"wrigr104"
"Emmett Bowles",1922.00,"CHA","AL",0.00,0.00,0.00,0.71,100.00,0.68,,"bowle101"
"Red Faber",1922.00,"CHA","AL",6.00,1.00,2.00,0.71,100.00,0.68,0.63,"faber101"
"Lucas Turk",1922.00,"WS1","AL",0.00,0.00,0.00,0.72,96.00,0.68,,"turkl101"
"Rollie Naylor",1922.00,"PHA","AL",3.00,2.00,1.00,0.71,105.00,0.67,-0.19,"naylr101"
"Harry Courtney",1922.00,"WS1","AL",0.00,0.00,0.00,0.72,96.00,0.68,,"courh101"
"Bullet Joe Bush",1922.00,"NYA","AL",11.00,1.00,1.00,0.71,98.00,0.68,1.44,"bushj102"
"Howard Ehmke",1922.00,"DET","AL",13.00,2.00,2.00,0.72,96.00,0.68,1.39,"ehmkh101"
"Charlie Robertson",1922.00,"CHA","AL",2.00,2.00,0.00,0.71,100.00,0.68,-0.37,"robec101"
"Roy Moore",1922.00,"PHA","AL",0.00,3.00,0.00,0.71,105.00,0.67,-1.05,"moorr102"
"Bill Piercy",1922.00,"BOS","AL",0.00,0.00,1.00,0.71,101.00,0.68,,"pierb103"
"Sam Dodge",1922.00,"BOS","AL",0.00,0.00,0.00,0.71,101.00,0.68,,"dodgs101"
"Lil Stoner",1922.00,"DET","AL",0.00,0.00,0.00,0.72,96.00,0.68,,"stonl101"
"Harry Courtney",1922.00,"CHA","AL",2.00,1.00,0.00,0.71,100.00,0.68,-0.02,"courh101"
"Rube Yarrison",1922.00,"PHA","AL",0.00,1.00,0.00,0.71,105.00,0.67,-0.35,"yarrr101"
"Homer Blankenship",1922.00,"CHA","AL",0.00,0.00,0.00,0.71,100.00,0.68,,"blanh101"
"Red Oldham",1922.00,"DET","AL",2.00,4.00,1.00,0.72,96.00,0.68,-1.10,"oldhr101"
"Walter Johnson",1922.00,"WS1","AL",3.00,1.00,0.00,0.72,96.00,0.68,0.12,"johnw102"
"Herb Pennock",1922.00,"BOS","AL",1.00,2.00,0.00,0.71,101.00,0.68,-0.54,"pennh101"
"James Edwards",1922.00,"CLE","AL",10.00,3.00,2.00,0.71,100.00,0.68,0.58,"edwaj102"
"Bert Cole",1922.00,"DET","AL",1.00,2.00,0.00,0.72,96.00,0.68,-0.55,"coleb101"
"Alex Ferguson",1922.00,"BOS","AL",3.00,0.00,0.00,0.71,101.00,0.68,0.49,"ferga101"
"John Middleton",1922.00,"CLE","AL",0.00,0.00,0.00,0.71,100.00,0.68,,"middj101"
"Red Schillings",1922.00,"PHA","AL",0.00,0.00,0.00,0.71,105.00,0.67,,"schir101"
"Bob Shawkey",1922.00,"NYA","AL",7.00,3.00,1.00,0.71,98.00,0.68,0.07,"shawb102"
"George Stueland",1922.00,"CHN","NL",1.00,2.00,0.00,0.74,102.00,0.71,-0.59,"stueg101"
"Jack Scott",1922.00,"NY1","NL",2.00,1.00,1.00,0.75,98.00,0.71,-0.08,"scotj101"
"Eppa Rixey",1922.00,"CIN","NL",0.00,0.00,0.00,0.75,97.00,0.71,,"rixee101"
"Frank Miller",1922.00,"BSN","NL",6.00,0.00,0.00,0.75,97.00,0.71,0.87,"millf102"
"Lou North",1922.00,"SLN","NL",1.00,0.00,1.00,0.75,94.00,0.72,0.14,"nortl101"
"Jimmy Ring",1922.00,"PHI","NL",5.00,0.00,2.00,0.73,113.00,0.69,0.78,"ringj101"
"Red Shea",1922.00,"NY1","NL",2.00,3.00,0.00,0.75,98.00,0.71,-0.82,"shear102"
"Burleigh Grimes",1922.00,"BRO","NL",0.00,1.00,1.00,0.75,100.00,0.71,-0.37,"grimb101"
"George Smith",1922.00,"PHI","NL",6.00,2.00,2.00,0.73,113.00,0.69,0.21,"smitg104"
"Roy Walker",1922.00,"SLN","NL",0.00,0.00,0.00,0.75,94.00,0.72,,"walkr102"
"Petie Behan",1922.00,"PHI","NL",7.00,0.00,0.00,0.73,113.00,0.69,1.10,"behap101"
"Joe Genewich",1922.00,"BSN","NL",0.00,0.00,0.00,0.75,97.00,0.71,,"genej101"
"Huck Betts",1922.00,"PHI","NL",3.00,1.00,0.00,0.73,113.00,0.69,0.10,"betth101"
"Duke Gillespie",1922.00,"CIN","NL",0.00,0.00,1.00,0.75,97.00,0.71,,"gillj103"
"Bonnie Hollingsworth",1922.00,"PIT","NL",0.00,0.00,0.00,0.75,100.00,0.71,,"hollb102"
"Stan Baumgartner",1922.00,"PHI","NL",1.00,0.00,0.00,0.73,113.00,0.69,0.15,"baums101"
"Harry Shriver",1922.00,"BRO","NL",0.00,0.00,0.00,0.75,100.00,0.71,,"shrih101"
"Garland Braxton",1922.00,"BSN","NL",1.00,2.00,0.00,0.75,97.00,0.71,-0.60,"braxg101"
"Sid Benton",1922.00,"SLN","NL",0.00,0.00,0.00,0.75,94.00,0.72,,"bents101"
"Whitey Glazner",1922.00,"PIT","NL",1.00,0.00,0.00,0.75,100.00,0.71,0.14,"glazw101"
"Clyde Barfoot",1922.00,"SLN","NL",7.00,1.00,2.00,0.75,94.00,0.72,0.62,"barfc101"
"Jack Fournier",1922.00,"SLN","NL",0.00,0.00,0.00,0.75,94.00,0.72,,"fourj101"
"Rube Marquard",1922.00,"BSN","NL",4.00,0.00,0.00,0.75,97.00,0.71,0.58,"marqr102"
"Jim Murray",1922.00,"BRO","NL",0.00,0.00,0.00,0.75,100.00,0.71,,"murrj103"
"Dazzy Vance",1922.00,"BRO","NL",0.00,1.00,1.00,0.75,100.00,0.71,-0.37,"vancd101"
"Percy Jones",1922.00,"CHN","NL",0.00,0.00,0.00,0.74,102.00,0.71,,"jonep101"
"Pete Donohue",1922.00,"CIN","NL",0.00,0.00,0.00,0.75,97.00,0.71,,"donop102"
"Cliff Markle",1922.00,"CIN","NL",2.00,2.00,1.00,0.75,97.00,0.71,-0.45,"markc101"
"Phil Douglas",1922.00,"NY1","NL",5.00,0.00,2.00,0.75,98.00,0.71,0.73,"dougp101"
"Dolf Luque",1922.00,"CIN","NL",4.00,1.00,0.00,0.75,97.00,0.71,0.20,"luqud101"
"Hugh McQuillan",1922.00,"NY1","NL",0.00,0.00,0.00,0.75,98.00,0.71,,"mcquh101"
"Karl Schnell",1922.00,"CIN","NL",0.00,0.00,0.00,0.75,97.00,0.71,,"schnk101"
"Hugh McQuillan",1922.00,"BSN","NL",4.00,1.00,1.00,0.75,97.00,0.71,0.20,"mcquh101"
"Joe Oeschger",1922.00,"BSN","NL",3.00,4.00,1.00,0.75,97.00,0.71,-1.06,"oescj101"
"Myrl Brown",1922.00,"PIT","NL",1.00,1.00,0.00,0.75,100.00,0.71,-0.22,"browm101"
"Mule Watson",1922.00,"BSN","NL",2.00,0.00,0.00,0.75,97.00,0.71,0.29,"watsm103"
"Harry Hulihan",1922.00,"BSN","NL",0.00,0.00,0.00,0.75,97.00,0.71,,"hulih101"
"Jesse Winters",1922.00,"PHI","NL",11.00,3.00,0.00,0.73,113.00,0.69,0.64,"wintj101"
"Vic Keen",1922.00,"CHN","NL",2.00,1.00,1.00,0.74,102.00,0.71,-0.07,"keenv101"
"Marv Goodwin",1922.00,"SLN","NL",0.00,0.00,0.00,0.75,94.00,0.72,,"goodm102"
"Vic Aldridge",1922.00,"CHN","NL",3.00,0.00,0.00,0.74,102.00,0.71,0.44,"aldrv101"
"Bill Hubbell",1922.00,"PHI","NL",0.00,0.00,1.00,0.73,113.00,0.69,,"hubbb101"
"Lerton Pinto",1922.00,"PHI","NL",0.00,0.00,0.00,0.73,113.00,0.69,,"pintl101"
"Uel Eubanks",1922.00,"CHN","NL",0.00,0.00,0.00,0.74,102.00,0.71,,"eubau101"
"Fred Fussell",1922.00,"CHN","NL",0.00,0.00,0.00,0.74,102.00,0.71,,"fussf101"
"Carmen Hill",1922.00,"NY1","NL",2.00,0.00,0.00,0.75,98.00,0.71,0.29,"hillc102"
"Dana Fillingim",1922.00,"BSN","NL",2.00,3.00,0.00,0.75,97.00,0.71,-0.83,"filld101"
"Babe Adams",1922.00,"PIT","NL",5.00,2.00,3.00,0.75,100.00,0.71,-5.3001e-03,"adamb104"
"Bill Doak",1922.00,"SLN","NL",1.00,0.00,1.00,0.75,94.00,0.72,0.14,"doakb101"
"Tiny Osborne",1922.00,"CHN","NL",19.00,3.00,1.00,0.74,102.00,0.71,1.72,"osbot101"
"Cy Morgan",1922.00,"BSN","NL",0.00,0.00,0.00,0.75,97.00,0.71,,"morgc101"
"Clarence Mitchell",1922.00,"BRO","NL",0.00,0.00,0.00,0.75,100.00,0.71,,"mitcc102"
"Johnny Stuart",1922.00,"SLN","NL",0.00,0.00,0.00,0.75,94.00,0.72,,"stuaj101"
"Chief Yellowhorse",1922.00,"PIT","NL",5.00,3.00,1.00,0.75,100.00,0.71,-0.37,"yellc101"
"Art Decatur",1922.00,"BRO","NL",19.00,3.00,1.00,0.75,100.00,0.71,1.69,"decaa101"
"Art Nehf",1922.00,"NY1","NL",3.00,1.00,0.00,0.75,98.00,0.71,0.06,"nehfa101"
"Bill Pertica",1922.00,"SLN","NL",5.00,0.00,0.00,0.75,94.00,0.72,0.71,"pertb101"
"Paul Schreiber",1922.00,"BRO","NL",0.00,0.00,0.00,0.75,100.00,0.71,,"schrp102"
"Ray Gordinier",1922.00,"BRO","NL",0.00,0.00,0.00,0.75,100.00,0.71,,"gordr101"
"Pete Alexander",1922.00,"CHN","NL",3.00,1.00,0.00,0.74,102.00,0.71,0.07,"alexg102"
